"Variable 1","Variable 2","Correlation coefficient","P-value","Adjusted P (FDR)"
"CD4 EMRA","nTreg",0.239957716701903,0.121169493819945,0.5663622748789
"CD4 memory","nTreg",-0.121262458471761,0.438573277304448,0.82702389434553
"CD4 naive","nTreg",-0.0598006644518272,0.703258745662273,0.957674140808431
"CD8","nTreg",0.0234068257324071,0.881564480727734,0.971564494971714
"CD8 EMRA","nTreg",-0.027182120205376,0.862632110111067,0.971564494971714
"CD8 memory","nTreg",0.223195409241921,0.150240284399326,0.577484466689981
"CD8 naive","nTreg",0.0477197221383268,0.76122580472396,0.957674140808431
"Dendritic cell","nTreg",-0.257022047719722,0.0961473427041815,0.502631652948592
"Gamma delta T","nTreg",0.0901540320144971,0.565337276563391,0.915694555658828
"iNKT","nTreg",0.227876774388402,0.141651043453088,0.56768927340064
"iTreg","nTreg",0.367260646330414,0.0154074860441114,0.219868990034886
"mDC","nTreg",-0.054364240410752,0.729161108683878,0.957674140808431
"Monocyte","nTreg",-0.115372999093929,0.461290511847627,0.845699271720649
"Monocyte Classical","nTreg",-0.013591060102688,0.931068737999225,0.978801457870846
"Monocyte Inflammatory","nTreg",-0.507494242820254,0.000513629585634057,0.0150664678452657
"Monocyte Patrolling","nTreg",-0.0158562367864693,0.919615019566757,0.978801457870846
"NK cell","nTreg",0.0225007550588946,0.886118369968609,0.971564494971714
"NKT","nTreg",0.341890667472063,0.0248348560982743,0.258523336366647
"B cell","pDC",-0.00890969495620658,0.95478079728141,0.978801457870846
"B immature","pDC",-0.0126849894291755,0.93565420652723,0.978801457870846
"B memory","pDC",-0.0773180308064029,0.62214896955375,0.941513870606069
"B naive","pDC",-0.214285714285714,0.167633307546791,0.58616149923646
"B1","pDC",0.107369374811235,0.49315060361307,0.871928327554604
"CD39iTreg","pDC",0.20144971307762,0.195183749129385,0.606546560373034
"CD39nTreg","pDC",0.0436424041075204,0.781103094190789,0.958666316919375
"CD39Treg","pDC",0.0635759589247961,0.685462129051945,0.957674140808431
"CD4","pDC",0.177589852008457,0.254576585522277,0.672082185778811
"CD4 EMRA","pDC",-0.0986106916339475,0.529273504821048,0.892831982573524
"CD4 memory","pDC",0.153125943823618,0.326926758159591,0.728343157418836
"CD4 naive","pDC",0.172455451525219,0.268789993812486,0.674744194718821
"CD8","pDC",0.25853216550891,0.0941410727572822,0.502631652948592
"CD8 EMRA","pDC",0.286167321051042,0.0628366351816438,0.442651711988256
"CD8 memory","pDC",-0.23905164602839,0.122623508956385,0.5663622748789
"CD8 naive","pDC",0.185442464512232,0.233828375846208,0.661320893062318
"Dendritic cell","pDC",0.203714889761401,0.19010330555726,0.603169571695998
"Gamma delta T","pDC",0.027182120205376,0.862632110111067,0.971564494971714
"iNKT","pDC",-0.131531259438236,0.400485713304816,0.807085712308942
"iTreg","pDC",0.101630927212323,0.516672640146526,0.888609622141256
"mDC","pDC",0.994714587737844,0,0
"Monocyte","pDC",-0.0295983086680761,0.850554463274619,0.971564494971714
"Monocyte Classical","pDC",-0.135155542132286,0.387514812158222,0.800353724046633
"Monocyte Inflammatory","pDC",0.0770189149942953,0.623500860147934,0.941513870606069
"Monocyte Patrolling","pDC",0.0572334642102084,0.715451194967746,0.957674140808431
"NK cell","pDC",0.16626396858955,0.286614733306843,0.683996389148887
"NKT","pDC",-0.0126849894291755,0.93565420652723,0.978801457870846
"nTreg","pDC",-0.0419812745394141,0.789241692211588,0.958666316919375
"B cell","Plasmablast",0.0843432627927724,0.590757952274369,0.917412349414315
"B immature","Plasmablast",0.230226148840791,0.137479929258355,0.56657920564508
"B memory","Plasmablast",0.264733643107843,0.086239136282374,0.484407063373335
"B naive","Plasmablast",0.347717748577186,0.0223268312145732,0.25082057194244
"B1","Plasmablast",0.0488541549032442,0.755721619648864,0.957674140808431
"CD39iTreg","Plasmablast",-0.065768112705913,0.675204247108302,0.957674140808431
"CD39nTreg","Plasmablast",0.381319137961952,0.0116383456352001,0.180736661628989
"CD39Treg","Plasmablast",0.322422320613374,0.0349757090606455,0.323985515509137
"CD4","Plasmablast",0.0731679692445806,0.641013539380703,0.954323172108527
"CD4 EMRA","Plasmablast",0.222826292302123,0.150933440157609,0.577484466689981
"CD4 memory","Plasmablast",-0.0843432627927724,0.590757952274369,0.917412349414315
"CD4 naive","Plasmablast",-0.122928229030111,0.432262220062041,0.819156578913454
"CD8","Plasmablast",-0.0230301657580981,0.883457115311574,0.971564494971714
"CD8 EMRA","Plasmablast",-0.044625665452577,0.776296462625016,0.957674140808431
"CD8 memory","Plasmablast",-0.00332238456838137,0.983130474897818,0.992331887052143
"CD8 naive","Plasmablast",-0.27983539114594,0.0691509291519492,0.442651711988256
"Dendritic cell","Plasmablast",0.0758107751512476,0.628973598014253,0.94346039702138
"Gamma delta T","Plasmablast",0.00490806811238156,0.975081224443207,0.986289054609221
"iNKT","Plasmablast",0.00906104882285827,0.954013446655447,0.978801457870846
"iTreg","Plasmablast",0.0329973194632422,0.833621649010374,0.971564494971714
"mDC","Plasmablast",-0.207573526783645,0.181666219248609,0.599498523520409
"Monocyte","Plasmablast",-0.0270321289881938,0.863382911110374,0.971564494971714
"Monocyte Classical","Plasmablast",-0.0119303809500967,0.939474726386216,0.978801457870846
"Monocyte Inflammatory","Plasmablast",0.0846862493392736,0.589243505503665,0.917412349414315
"Monocyte Patrolling","Plasmablast",-0.125344508716206,0.423198392182602,0.813656372347877
"NK cell","Plasmablast",-0.225016045767647,0.146855519537317,0.577484466689981
"NKT","Plasmablast",0.161135651566496,0.301947514416149,0.699416370870731
"nTreg","Plasmablast",0.182957677481547,0.24026480782423,0.661320893062318
"pDC","Plasmablast",-0.242685090972221,0.116871096942214,0.555927380049452
"B cell","Plasmablast IgA+",0.158562367864693,0.309835538623934,0.705142949971711
"B immature","Plasmablast IgA+",0.283751132588342,0.0651896144804729,0.442651711988256
"B memory","Plasmablast IgA+",0.201147689519783,0.195868314989065,0.606546560373034
"B naive","Plasmablast IgA+",0.299456357595892,0.0510772403172628,0.429551980485992
"B1","Plasmablast IgA+",0.0386590154032014,0.80558467526419,0.962327394885729
"CD39iTreg","Plasmablast IgA+",-0.0551192993053458,0.725544941252012,0.957674140808431
"CD39nTreg","Plasmablast IgA+",0.449864089398973,0.00247269317644649,0.0593446362347159
"CD39Treg","Plasmablast IgA+",0.383116883116883,0.0112186287954996,0.179498060727994
"CD4","Plasmablast IgA+",0.0721836303231652,0.645521495819765,0.954720867767047
"CD4 EMRA","Plasmablast IgA+",0.279673814557535,0.0693183859687396,0.442651711988256
"CD4 memory","Plasmablast IgA+",-0.151313802476593,0.332752328711063,0.735118115311471
"CD4 naive","Plasmablast IgA+",-0.165206886137119,0.289733027237194,0.683996389148887
"CD8","Plasmablast IgA+",-0.0451525218967079,0.773724324790981,0.957674140808431
"CD8 EMRA","Plasmablast IgA+",0.0332225913621262,0.832501948214325,0.971564494971714
"CD8 memory","Plasmablast IgA+",-0.0276351555421323,0.860365109384902,0.971564494971714
"CD8 naive","Plasmablast IgA+",-0.231048021745696,0.136042509422828,0.56657920564508
"Dendritic cell","Plasmablast IgA+",0.0919661733615222,0.557514525896189,0.914185309544062
"Gamma delta T","Plasmablast IgA+",0.0868317728782845,0.579809403333518,0.915694555658828
"iNKT","Plasmablast IgA+",0.0570824524312896,0.716170614088257,0.957674140808431
"iTreg","Plasmablast IgA+",0.0860767139836907,0.583121695833257,0.915694555658828
"mDC","Plasmablast IgA+",-0.168227121715494,0.28088172366651,0.683996389148887
"Monocyte","Plasmablast IgA+",0.0235578375113259,0.880805861577085,0.971564494971714
"Monocyte Classical","Plasmablast IgA+",0.0448504983388704,0.775198527248934,0.957674140808431
"Monocyte Inflammatory","Plasmablast IgA+",0.00218975346552408,0.988880998170696,0.992331887052143
"Monocyte Patrolling","Plasmablast IgA+",-0.139081848384174,0.373745133080985,0.792519800268112
"NK cell","Plasmablast IgA+",-0.226819691935971,0.143558040841292,0.569914628302271
"NKT","Plasmablast IgA+",0.251283600120809,0.104072779581599,0.530945266636257
"nTreg","Plasmablast IgA+",0.276804590758079,0.0723457701097363,0.449394901387538
"pDC","Plasmablast IgA+",-0.203412866203564,0.190775224381121,0.603169571695998
"Plasmablast","Plasmablast IgA+",0.941518481435165,0,0
"B cell","T cell",0.356991845363938,0.0187738583423172,0.245250901312607
"B immature","T cell",0.0992147387496225,0.526741346047111,0.892831982573524
"B memory","T cell",0.301721534279674,0.0492625121466652,0.426403383826873
"B naive","T cell",0.176230745998188,0.258288970985852,0.674744194718821
"B1","T cell",-0.195258230141951,0.209557321537711,0.628341673152754
"CD39iTreg","T cell",-0.182875264270613,0.240480324749934,0.661320893062318
"CD39nTreg","T cell",0.363485351857445,0.0165802259344836,0.230377876142299
"CD39Treg","T cell",0.259136212624585,0.0933476738878494,0.502631652948592
"CD4","T cell",-0.0388100271821202,0.804839978969345,0.962327394885729
"CD4 EMRA","T cell",0.0986106916339475,0.529273504821048,0.892831982573524
"CD4 memory","T cell",0.0578375113258834,0.712575956651601,0.957674140808431
"CD4 naive","T cell",0.217003926306252,0.162179477961236,0.579347164177605
"CD8","T cell",-0.112654787073392,0.471984910093262,0.853452166196036
"CD8 EMRA","T cell",0.102839021443673,0.511674559583128,0.882889436143436
"CD8 memory","T cell",0.418453639383872,0.0052296080476455,0.115051377048201
"CD8 naive","T cell",0.374207188160677,0.0134327823671758,0.202643116853395
"Dendritic cell","T cell",-0.0220477197221383,0.888396682572207,0.971564494971714
"Gamma delta T","T cell",0.326638477801268,0.0325313282644653,0.312300751338866
"iNKT","T cell",0.38840229537904,0.0100587782210746,0.168067389098075
"iTreg","T cell",0.141498036846874,0.365418369868167,0.7833490753651
"mDC","T cell",-0.0549682875264271,0.726267706423607,0.957674140808431
"Monocyte","T cell",0.265478707339172,0.0853255821768006,0.484407063373335
"Monocyte Classical","T cell",0.0857746904258532,0.584448987229214,0.915694555658828
"Monocyte Inflammatory","T cell",-0.218597802851456,0.159042107751059,0.579347164177605
"Monocyte Patrolling","T cell",0.27182120205376,0.0778506000995987,0.466968939774534
"NK cell","T cell",0.278616732105104,0.0704218632708589,0.442651711988256
"NKT","T cell",0.328752642706131,0.0313596926242001,0.311020490101299
"nTreg","T cell",0.413168227121715,0.00589230941994257,0.12335010523114
"pDC","T cell",-0.0616128057988523,0.694696126966182,0.957674140808431
"Plasmablast","T cell",0.0869860686994394,0.579133585416927,0.915694555658828
"Plasmablast IgA+","T cell",0.0952884324977348,0.543306052188182,0.910684430334476
"B cell","Treg",0.205527031108426,0.186107019667657,0.602849732420385
"B immature","Treg",0.233766233766234,0.131368025143192,0.56657920564508
"B memory","Treg",0.21232256115977,0.17165383551244,0.588355231800435
"B naive","Treg",0.122772576260948,0.432849783175859,0.819156578913454
"B1","Treg",-0.0904560555723346,0.564029964875827,0.915694555658828
"CD39iTreg","Treg",0.0472666868015705,0.763427171214515,0.957674140808431
"CD39nTreg","Treg",0.604651162790698,1.7526805099255e-05,0.000925415309240662
"CD39Treg","Treg",0.670341286620356,8.76601545796163e-07,6.6120802311482e-05
"CD4","Treg",0.0425853216550891,0.786279589828419,0.958666316919375
"CD4 EMRA","Treg",0.231954092419209,0.134470811438425,0.56657920564508
"CD4 memory","Treg",-0.228027786167321,0.141380152295348,0.56768927340064
"CD4 naive","Treg",-0.175475687103594,0.260366943352961,0.674744194718821
"CD8","Treg",-0.0510419812745394,0.74514030577891,0.957674140808431
"CD8 EMRA","Treg",-0.00739957716701903,0.962439058208855,0.978801457870846
"CD8 memory","Treg",0.1650558743582,0.290180286305588,0.683996389148887
"CD8 naive","Treg",0.0113258834189067,0.942536219061025,0.978801457870846
"Dendritic cell","Treg",-0.233917245545153,0.131111892513041,0.56657920564508
"Gamma delta T","Treg",0.0439444276653579,0.779625798640757,0.958666316919375
"iNKT","Treg",0.279371790999698,0.0696322606980209,0.442651711988256
"iTreg","Treg",0.524463908184838,0.00030606310368908,0.0107734212498556
"mDC","Treg",-0.0604047115675023,0.700400448354671,0.957674140808431
"Monocyte","Treg",-0.126547870733917,0.418724678235134,0.813656372347877
"Monocyte Classical","Treg",-0.0478707339172455,0.760492428315271,0.957674140808431
"Monocyte Inflammatory","Treg",-0.556423906463688,0.00010683520626209,0.00402921349331312
"Monocyte Patrolling","Treg",-0.0214436726064633,0.891435811124095,0.971564494971714
"NK cell","Treg",0.0860767139836907,0.583121695833257,0.915694555658828
"NKT","Treg",0.306553911205074,0.0455650231594729,0.400972203803361
"nTreg","Treg",0.944427665357898,0,0
"pDC","Treg",-0.0353367562669888,0.822009845911219,0.971564494971714
"Plasmablast","Treg",0.103446974060965,0.509168585941202,0.882889436143436
"Plasmablast IgA+","Treg",0.186650558743582,0.230741914763451,0.658549897270823
"T cell","Treg",0.357746904258532,0.0185068489467279,0.245250901312607
